bank_txn_id,txn_date,value_date,narration,utr,credit_amount,balance
bt_0280,2026-02-06,2026-02-06,IMPS REF HDFC859770348247 RAZORPAY,,6001.75,
bt_0320,2026-02-10,2026-02-10,IMPS REF UTIB959440640909 RAZORPAY,,14329.32,
bt_0316,2026-02-16,2026-02-16,NEFT/RAZORPAY SOFTWARE PVT/HDFC792374740748/CR,,21693.20,
bt_0373,2026-02-17,2026-02-17,NEFT/RAZORPAY/UTIB111161/CR,,43396.19,
bt_0363,2026-02-19,2026-02-19,NEFT-RAZORPAYSOFTWARE-KKBK084700766177-SETTLEMENT,,13392.00,
bt_0318,2026-02-24,2026-02-24,NEFT/RAZORPAY SOFTWARE PVT/SBIN759464743671/CR,,34486.87,
bt_0324,2026-02-25,2026-02-25,NEFT  RAZORPAYSOFTWARE  KKBK521456232858  CR,,4123.04,
bt_0391,2026-02-27,2026-02-27,IMPS REF SBIN476797643815 RAZORPAY,,49201.76,
bt_0351,2026-03-02,2026-03-02,NEFT-RAZORPAYSOFTWARE-HDFC900532931839-SETTLEMENT,,15767.14,
bt_0385,2026-03-02,2026-03-02,NEFT  RAZORPAYSOFTWARE  HDFC018366752545  CR,,31792.38,
bt_0322,2026-03-06,2026-03-06,NEFT-RAZORPAYSOFTWARE-ICIC395339421047-SETTLEMENT,,26468.90,
bt_0353,2026-03-10,2026-03-10,NEFT-RAZORPAYSOFTWARE-HDFC900532931839-SETTLEMENT,,9968.09,
bt_0392,2026-02-16,2026-03-10,NEFT-INWARD-KKBK784036900343-VENDOR REFUND,,18987.50,
bt_0393,2026-03-11,2026-03-16,NEFT-INWARD-SBIN076226838851-VENDOR REFUND,,53044.00,
bt_0300,2026-03-17,2026-03-17,RTGS-HDFC605766270289-RAZORPAY-COLLECTION,,63677.64,
bt_0334,2026-03-18,2026-03-18,NEFT-RAZORPAYSOFTWARE-ICIC965137098593-SETTLEMENT,,19064.96,
bt_0244,2026-03-23,2026-03-23,NEFT  RAZORPAYSOFTWARE  UTIB572628498776  CR,,147467.89,
bt_0304,2026-03-23,2026-03-23,NEFT/RAZORPAY SOFTWARE PVT/UTIB158657809134/CR,,72724.97,
bt_0336,2026-03-25,2026-03-25,NEFT/RAZORPAY SOFTWARE PVT/UTIB461200471138/CR,,71846.83,
bt_0268,2026-03-26,2026-03-26,NEFT/RAZORPAY SOFTWARE PVT/ICIC713493618324/CR,,204140.25,
bt_0256,2026-03-30,2026-03-30,RTGS-KKBK941343524082-RAZORPAY-COLLECTION,,169748.94,
bt_0276,2026-03-30,2026-03-30,NEFT  RAZORPAYSOFTWARE  SBIN756551256746  CR,,159955.41,
bt_0365,2026-04-01,2026-04-01,RTGS-ICIC921249985698-RAZORPAY-COLLECTION,,59176.67,
bt_0236,2026-04-02,2026-04-02,NEFT/RAZORPAY SOFTWARE PVT/SBIN805310033092/CR,,130947.12,
bt_0252,2026-04-02,2026-04-02,RTGS-HDFC495788568557-RAZORPAY-COLLECTION,,91511.82,
bt_0371,2026-04-02,2026-04-02,NEFT-RAZORPAYSOFTWARE-UTIB365766-SETTLEMENT,,32739.06,
bt_0238,2026-04-03,2026-04-03,RTGS-HDFC719374529912-RAZORPAY-COLLECTION,,117675.58,
bt_0246,2026-04-06,2026-04-06,IMPS REF ICIC531473799650 RAZORPAY,,85184.88,
bt_0250,2026-04-06,2026-04-06,IMPS REF SBIN367837770143 RAZORPAY,,190649.87,
bt_0264,2026-04-09,2026-04-09,NEFT/RAZORPAY SOFTWARE PVT/ICIC964990913341/CR,,108974.11,
bt_0242,2026-04-13,2026-04-13,NEFT-RAZORPAYSOFTWARE-SBIN905865185067-SETTLEMENT,,187636.25,
bt_0278,2026-04-13,2026-04-13,NEFT-RAZORPAYSOFTWARE-SBIN715451680876-SETTLEMENT,,167935.04,
bt_0258,2026-04-14,2026-04-14,RTGS-SBIN084271094777-RAZORPAY-COLLECTION,,146021.61,
bt_0298,2026-04-17,2026-04-17,IMPS REF UTIB875588675339 RAZORPAY,,3749.53,
bt_0240,2026-04-20,2026-04-20,NEFT  RAZORPAYSOFTWARE  SBIN904966319314  CR,,112541.45,
bt_0248,2026-04-20,2026-04-20,NEFT/RAZORPAY SOFTWARE PVT/ICIC273545494808/CR,,120097.88,
bt_0254,2026-04-20,2026-04-20,NEFT  RAZORPAYSOFTWARE  ICIC431351823374  CR,,175188.63,
bt_0260,2026-04-21,2026-04-21,NEFT  RAZORPAYSOFTWARE  HDFC047116719022  CR,,114398.60,
bt_0266,2026-04-21,2026-04-21,RTGS-HDFC281206797403-RAZORPAY-COLLECTION,,101731.00,
bt_0344,2026-04-22,2026-04-22,IMPS REF UTIB735158506431 RAZORPAY,,42119.97,
bt_0262,2026-04-23,2026-04-23,IMPS REF ICIC131869993867 RAZORPAY,,154244.11,
bt_0302,2026-04-23,2026-04-23,NEFT  RAZORPAYSOFTWARE  SBIN718702621745  CR,,64239.52,
bt_0345,2026-04-23,2026-04-23,NEFT-RAZORPAYSOFTWARE-UTIB735158506431-SETTLEMENT,,63179.95,
bt_0272,2026-04-24,2026-04-24,NEFT  RAZORPAYSOFTWARE  KKBK771906594013  CR,,138179.79,
bt_0234,2026-04-27,2026-04-27,IMPS REF SBIN465375564641 RAZORPAY,,106426.98,
bt_0270,2026-04-27,2026-04-27,NEFT  RAZORPAYSOFTWARE  SBIN024994717464  CR,,166778.29,
bt_0274,2026-04-27,2026-04-27,IMPS REF KKBK049027874296 RAZORPAY,,155491.38,
