order_id,sku,order_amount,order_date,channel,expected_settlement
ord_0001,SKU-MONITOR,7796.00,2026-04-24,web,7781.84
ord_0003,SKU-CABLE,9644.00,2026-03-02,web,9629.84
ord_0005,SKU-KEYBOARD,28151.00,2026-04-18,web,28148.64
ord_0007,SKU-CABLE,33618.99,2026-03-03,web,33616.63
ord_0009,SKU-CABLE,27993.25,2026-04-12,app,27250.03
ord_0011,SKU-MONITOR,10963.75,2026-02-02,web,10672.67
ord_0013,SKU-DOCK,22559.00,2026-03-01,web,22556.64
ord_0015,SKU-KEYBOARD,23041.99,2026-03-19,marketplace,22430.23
ord_0017,SKU-KEYBOARD,35642.00,2026-04-01,marketplace,34695.70
ord_0019,SKU-CABLE,41698.99,2026-03-11,web,40591.88
ord_0021,SKU-KEYBOARD,3503.25,2026-02-10,web,3410.24
ord_0023,SKU-MONITOR,25411.50,2026-02-14,web,24736.82
ord_0025,SKU-MONITOR,23783.25,2026-03-21,marketplace,23769.09
ord_0027,SKU-MOUSE,40420.25,2026-02-11,web,40406.09
ord_0029,SKU-CABLE,25367.50,2026-04-02,web,25353.34
ord_0031,SKU-MONITOR,4165.25,2026-03-15,app,4162.89
ord_0033,SKU-MONITOR,4837.25,2026-03-08,web,4823.09
ord_0035,SKU-MONITOR,26428.75,2026-04-06,web,26426.39
ord_0037,SKU-MONITOR,49323.99,2026-03-05,marketplace,49309.83
ord_0039,SKU-MONITOR,28577.99,2026-04-17,web,27819.25
ord_0041,SKU-KEYBOARD,33892.75,2026-02-19,web,33890.39
ord_0043,SKU-DOCK,41620.25,2026-02-21,marketplace,41606.09
ord_0045,SKU-DOCK,25716.75,2026-02-10,marketplace,25702.59
ord_0047,SKU-KEYBOARD,36756.00,2026-03-06,marketplace,36741.84
ord_0049,SKU-MONITOR,49709.50,2026-04-11,web,49695.34
ord_0051,SKU-KEYBOARD,28992.25,2026-03-11,marketplace,28222.50
ord_0053,SKU-KEYBOARD,33306.25,2026-03-07,marketplace,33292.09
ord_0055,SKU-MOUSE,42374.99,2026-03-12,web,42360.83
ord_0057,SKU-KEYBOARD,11087.99,2026-03-21,marketplace,11073.83
ord_0059,SKU-MONITOR,32521.00,2026-03-15,app,32518.64
ord_0061,SKU-KEYBOARD,4296.25,2026-03-04,web,4282.09
ord_0063,SKU-MOUSE,5035.99,2026-04-05,marketplace,5033.63
ord_0065,SKU-CABLE,36531.25,2026-04-03,marketplace,35561.35
ord_0067,SKU-MOUSE,14380.99,2026-03-28,marketplace,14366.83
ord_0069,SKU-CABLE,26648.50,2026-03-13,app,25940.98
ord_0071,SKU-MONITOR,16746.25,2026-02-17,web,16743.89
ord_0073,SKU-MOUSE,36801.25,2026-04-18,web,36787.09
ord_0075,SKU-KEYBOARD,46889.00,2026-02-11,web,46886.64
ord_0077,SKU-MONITOR,5143.99,2026-03-16,marketplace,5141.63
ord_0079,SKU-CABLE,14540.99,2026-04-05,marketplace,14538.63
ord_0081,SKU-MOUSE,16425.75,2026-04-03,web,15989.65
ord_0083,SKU-DOCK,43687.75,2026-02-14,app,42527.85
ord_0085,SKU-KEYBOARD,48280.00,2026-04-02,web,48265.84
ord_0087,SKU-MOUSE,48224.50,2026-03-25,web,48222.14
ord_0089,SKU-DOCK,35646.75,2026-02-26,web,35644.39
ord_0091,SKU-DOCK,30818.25,2026-03-09,marketplace,30815.89
ord_0093,SKU-KEYBOARD,3815.99,2026-02-14,web,3813.63
ord_0095,SKU-MOUSE,27134.75,2026-02-23,app,26414.32
ord_0097,SKU-DOCK,11289.75,2026-02-09,app,11287.39
ord_0099,SKU-CABLE,19194.75,2026-04-01,marketplace,19180.59
ord_0101,SKU-MOUSE,10644.25,2026-04-05,web,10361.64
ord_0103,SKU-MONITOR,48717.99,2026-04-17,web,48715.63
ord_0105,SKU-CABLE,38784.75,2026-02-08,web,38770.59
ord_0107,SKU-KEYBOARD,33781.00,2026-02-09,marketplace,33778.64
ord_0109,SKU-KEYBOARD,44750.25,2026-02-10,marketplace,43562.13
ord_0111,SKU-CABLE,38440.99,2026-03-05,web,38438.63
ord_0113,SKU-CABLE,43581.99,2026-03-27,app,43567.83
ord_0115,SKU-MONITOR,13886.50,2026-03-07,app,13884.14
ord_0117,SKU-MONITOR,44519.50,2026-02-18,web,43337.51
ord_0119,SKU-KEYBOARD,30534.99,2026-02-03,web,30520.83
ord_0121,SKU-MOUSE,14469.99,2026-04-11,app,14085.82
ord_0123,SKU-MOUSE,16509.50,2026-02-10,app,16071.18
ord_0125,SKU-CABLE,46607.50,2026-04-12,web,46593.34
ord_0127,SKU-MONITOR,20120.00,2026-04-13,web,20117.64
ord_0129,SKU-MONITOR,49155.99,2026-02-15,app,49153.63
ord_0131,SKU-MONITOR,14303.50,2026-04-20,marketplace,14301.14
ord_0133,SKU-DOCK,16957.00,2026-04-05,app,16954.64
ord_0135,SKU-MONITOR,732.50,2026-02-07,web,730.14
ord_0137,SKU-KEYBOARD,36654.75,2026-03-30,web,36640.59
ord_0139,SKU-KEYBOARD,45786.25,2026-02-11,app,45772.09
ord_0141,SKU-MOUSE,36710.25,2026-04-17,web,35735.59
ord_0143,SKU-MOUSE,24397.00,2026-03-13,marketplace,23749.26
ord_0145,SKU-CABLE,44208.00,2026-03-05,app,43034.28
ord_0147,SKU-MOUSE,49617.25,2026-04-22,web,49614.89
ord_0149,SKU-MONITOR,2124.25,2026-03-26,app,2110.09
ord_0151,SKU-KEYBOARD,17985.25,2026-03-05,app,17971.09
ord_0153,SKU-DOCK,31347.25,2026-02-06,app,31344.89
ord_0155,SKU-MOUSE,15415.25,2026-03-13,app,15412.89
ord_0157,SKU-MONITOR,18758.00,2026-03-16,marketplace,18259.97
ord_0159,SKU-KEYBOARD,26693.99,2026-04-08,web,25985.27
ord_0161,SKU-KEYBOARD,12202.99,2026-03-07,web,11879.00
ord_0163,SKU-MONITOR,28979.50,2026-04-19,app,28965.34
ord_0165,SKU-CABLE,34016.00,2026-04-20,web,33112.88
ord_0167,SKU-CABLE,3408.75,2026-03-06,marketplace,3406.39
ord_0169,SKU-MONITOR,24369.75,2026-02-27,marketplace,24367.39
ord_0171,SKU-MONITOR,43975.00,2026-03-14,marketplace,43960.84
ord_0173,SKU-DOCK,44205.75,2026-03-13,marketplace,43032.09
ord_0175,SKU-DOCK,36833.25,2026-03-11,marketplace,36830.89
ord_0177,SKU-CABLE,44888.25,2026-03-22,app,44874.09
ord_0179,SKU-MONITOR,36409.00,2026-03-25,web,35442.34
ord_0181,SKU-MONITOR,38509.99,2026-03-29,app,38495.83
ord_0183,SKU-DOCK,29477.25,2026-03-30,marketplace,29463.09
ord_0185,SKU-CABLE,43678.00,2026-02-23,marketplace,42518.34
ord_0187,SKU-MOUSE,41083.50,2026-04-24,marketplace,41081.14
ord_0189,SKU-KEYBOARD,15222.25,2026-03-13,web,15219.89
ord_0191,SKU-DOCK,31638.99,2026-03-05,app,31636.63
ord_0193,SKU-DOCK,38227.25,2026-04-23,app,38213.09
ord_0195,SKU-KEYBOARD,16489.25,2026-03-25,web,16475.09
ord_0197,SKU-CABLE,14841.25,2026-03-28,app,14827.09
ord_0199,SKU-DOCK,37030.25,2026-02-08,web,37027.89
ord_0201,SKU-CABLE,44250.99,2026-04-02,app,44236.83
ord_0203,SKU-CABLE,40650.99,2026-03-30,app,39571.70
ord_0205,SKU-MONITOR,49236.75,2026-02-22,web,47929.51
ord_0207,SKU-MOUSE,18673.99,2026-04-24,app,18178.20
ord_0209,SKU-MONITOR,5577.50,2026-03-30,app,5575.14
ord_0211,SKU-MOUSE,35899.00,2026-03-14,web,35896.64
ord_0213,SKU-MOUSE,45978.25,2026-03-23,web,45964.09
ord_0215,SKU-DOCK,27212.50,2026-03-27,app,27198.34
ord_0217,SKU-CABLE,14055.75,2026-02-09,marketplace,13682.57
ord_0219,SKU-KEYBOARD,38228.75,2026-02-04,app,37213.77
ord_0221,SKU-CABLE,49879.75,2026-03-12,marketplace,48555.45
ord_0223,SKU-MOUSE,40034.25,2026-04-12,app,38971.34
ord_0225,SKU-MONITOR,32327.00,2026-03-29,marketplace,31468.72
ord_0227,SKU-MOUSE,47959.25,2026-03-25,marketplace,46685.94
