payment_id,order_id,amount_gross,method,captured_at,settlement_id,settlement_utr,settled_at,fee_mdr,fee_gst,amount_settled,status,refund_amount
pay_0002,ord_0001,7796.00,netbanking,2026-04-24,setl_0233,SBIN465375564641,2026-04-27,12.00,2.16,7781.84,captured,0.00
pay_0004,ord_0003,9644.00,netbanking,2026-03-02,setl_0233,SBIN465375564641,2026-04-27,12.00,2.16,9629.84,captured,0.00
pay_0006,ord_0005,28151.00,upi,2026-04-18,setl_0233,SBIN465375564641,2026-04-27,2.00,0.36,28148.64,captured,0.00
pay_0008,ord_0007,33618.99,upi,2026-03-03,setl_0233,SBIN465375564641,2026-04-27,2.00,0.36,33616.63,captured,0.00
pay_0010,ord_0009,27993.25,card,2026-04-12,setl_0233,SBIN465375564641,2026-04-27,629.85,113.37,27250.03,captured,0.00
pay_0012,ord_0011,10963.75,card,2026-02-02,setl_0235,SBIN805310033092,2026-04-02,246.68,44.40,10672.67,captured,0.00
pay_0014,ord_0013,22559.00,upi,2026-03-01,setl_0235,SBIN805310033092,2026-04-02,2.00,0.36,22556.64,captured,0.00
pay_0016,ord_0015,23041.99,card,2026-03-19,setl_0235,SBIN805310033092,2026-04-02,518.44,93.32,22430.23,captured,0.00
pay_0018,ord_0017,35642.00,card,2026-04-01,setl_0235,SBIN805310033092,2026-04-02,801.95,144.35,34695.70,captured,0.00
pay_0020,ord_0019,41698.99,card,2026-03-11,setl_0235,SBIN805310033092,2026-04-02,938.23,168.88,40591.88,captured,0.00
pay_0022,ord_0021,3503.25,card,2026-02-10,setl_0237,HDFC719374529912,2026-04-03,78.82,14.19,3410.24,captured,0.00
pay_0024,ord_0023,25411.50,card,2026-02-14,setl_0237,HDFC719374529912,2026-04-03,571.76,102.92,24736.82,captured,0.00
pay_0026,ord_0025,23783.25,netbanking,2026-03-21,setl_0237,HDFC719374529912,2026-04-03,12.00,2.16,23769.09,captured,0.00
pay_0028,ord_0027,40420.25,netbanking,2026-02-11,setl_0237,HDFC719374529912,2026-04-03,12.00,2.16,40406.09,captured,0.00
pay_0030,ord_0029,25367.50,netbanking,2026-04-02,setl_0237,HDFC719374529912,2026-04-03,12.00,2.16,25353.34,captured,0.00
pay_0032,ord_0031,4165.25,upi,2026-03-15,setl_0239,SBIN904966319314,2026-04-20,2.00,0.36,4162.89,captured,0.00
pay_0034,ord_0033,4837.25,netbanking,2026-03-08,setl_0239,SBIN904966319314,2026-04-20,12.00,2.16,4823.09,captured,0.00
pay_0036,ord_0035,26428.75,upi,2026-04-06,setl_0239,SBIN904966319314,2026-04-20,2.00,0.36,26426.39,captured,0.00
