settlement_id,utr,settled_at,payment_ids,amount_gross,fee_mdr,fee_gst,amount_settled,fee_schedule,rounding
setl_0233,SBIN465375564641,2026-04-27,pay_0002|pay_0004|pay_0006|pay_0008|pay_0010,107203.24,657.85,118.41,106426.98,v2,0.00
setl_0235,SBIN805310033092,2026-04-02,pay_0012|pay_0014|pay_0016|pay_0018|pay_0020,133905.73,2507.30,451.31,130947.12,v2,0.00
setl_0237,HDFC719374529912,2026-04-03,pay_0022|pay_0024|pay_0026|pay_0028|pay_0030,118485.75,686.58,123.59,117675.58,v2,0.00
setl_0239,SBIN904966319314,2026-04-20,pay_0032|pay_0034|pay_0036|pay_0038|pay_0040,113333.23,671.00,120.78,112541.45,v2,0.00
setl_0241,SBIN905865185067,2026-04-13,pay_0042|pay_0044|pay_0046|pay_0048|pay_0050,187695.25,50.00,9.00,187636.25,v2,0.00
setl_0243,UTIB572628498776,2026-03-23,pay_0052|pay_0054|pay_0056|pay_0058|pay_0060,148282.48,690.33,124.26,147467.89,v2,0.00
setl_0245,ICIC531473799650,2026-04-06,pay_0062|pay_0064|pay_0066|pay_0068|pay_0070,86892.98,1447.54,260.56,85184.88,v2,0.00
setl_0247,ICIC273545494808,2026-04-20,pay_0072|pay_0074|pay_0076|pay_0078|pay_0080,120121.48,20.00,3.60,120097.88,v2,0.00
setl_0249,SBIN367837770143,2026-04-06,pay_0082|pay_0084|pay_0086|pay_0088|pay_0090,192264.75,1368.55,246.33,190649.87,v2,0.00
setl_0251,HDFC495788568557,2026-04-02,pay_0092|pay_0094|pay_0096|pay_0098|pay_0100,92253.49,628.53,113.14,91511.82,v2,0.00
setl_0253,ICIC431351823374,2026-04-20,pay_0102|pay_0104|pay_0106|pay_0108|pay_0110,176678.24,1262.38,227.23,175188.63,v2,0.00
setl_0255,KKBK941343524082,2026-03-30,pay_0112|pay_0114|pay_0116|pay_0118|pay_0120,170963.97,1029.69,185.34,169748.94,v2,0.00
setl_0257,SBIN084271094777,2026-04-14,pay_0122|pay_0124|pay_0126|pay_0128|pay_0130,146862.98,713.03,128.34,146021.61,v2,0.00
setl_0259,HDFC047116719022,2026-04-21,pay_0132|pay_0134|pay_0136|pay_0138|pay_0140,114434.00,30.00,5.40,114398.60,v2,0.00
setl_0261,ICIC131869993867,2026-04-23,pay_0142|pay_0144|pay_0146|pay_0148|pay_0150,157056.75,2383.59,429.05,154244.11,v2,0.00
setl_0263,ICIC964990913341,2026-04-09,pay_0152|pay_0154|pay_0156|pay_0158|pay_0160,110199.74,1038.67,186.96,108974.11,v2,0.00
setl_0265,HDFC281206797403,2026-04-21,pay_0162|pay_0164|pay_0166|pay_0168|pay_0170,102976.99,1055.93,190.06,101731.00,v2,0.00
setl_0267,ICIC713493618324,2026-03-26,pay_0172|pay_0174|pay_0176|pay_0178|pay_0180,206311.25,1839.83,331.17,204140.25,v2,0.00
setl_0269,SBIN024994717464,2026-04-27,pay_0182|pay_0184|pay_0186|pay_0188|pay_0190,167970.99,1010.76,181.94,166778.29,v2,0.00
setl_0271,KKBK771906594013,2026-04-24,pay_0192|pay_0194|pay_0196|pay_0198|pay_0200,138226.99,40.00,7.20,138179.79,v2,0.00
setl_0273,KKBK049027874296,2026-04-27,pay_0202|pay_0204|pay_0206|pay_0208|pay_0210,158390.22,2456.64,442.20,155491.38,v2,0.00
setl_0275,SBIN756551256746,2026-03-30,pay_0212|pay_0214|pay_0216|pay_0218|pay_0220,161374.25,1202.40,216.44,159955.41,v2,0.00
setl_0277,SBIN715451680876,2026-04-13,pay_0222|pay_0224|pay_0226|pay_0228|pay_0230,172468.00,3841.50,691.46,167935.04,v2,0.00
setl_0279,HDFC859770348247,2026-02-06,pay_0232,6001.75,0.00,0.00,6001.75,v1,0.00
setl_0297,UTIB875588675339,2026-04-14,pay_0282|pay_0284,3788.98,33.43,6.02,3749.53,v2,0.00
setl_0299,HDFC605766270289,2026-03-12,pay_0286|pay_0288,64590.50,773.61,139.25,63677.64,v2,0.00
setl_0301,SBIN718702621745,2026-04-20,pay_0290|pay_0292,64244.24,4.00,0.72,64239.52,v2,0.00
setl_0303,UTIB158657809134,2026-03-18,pay_0294|pay_0296,72741.49,14.00,2.52,72724.97,v2,0.00
setl_0315,HDFC792374740748,2026-02-16,pay_0306,21705.00,10.00,1.80,21693.20,v1,0.00
setl_0317,SBIN759464743671,2026-02-24,pay_0308,34486.87,0.00,0.00,34486.87,v1,0.00
setl_0319,UTIB959440640909,2026-02-10,pay_0310,14794.87,394.53,71.02,14329.32,v1,0.00
setl_0321,ICIC395339421047,2026-03-06,pay_0312,26483.06,12.00,2.16,26468.90,v2,0.00
setl_0323,KKBK521456232858,2026-02-25,pay_0314,4256.99,113.52,20.43,4123.04,v1,0.00
setl_0333,ICIC965137098593,2026-03-18,pay_0326|pay_0328,19331.25,225.67,40.62,19064.96,v1,0.00
setl_0335,UTIB461200471138,2026-03-25,pay_0330|pay_0332,72688.50,713.28,128.39,71846.83,v1,0.00
setl_0343,UTIB735158506431,2026-04-22,pay_0338|pay_0340|pay_0342,106621.25,1119.77,201.56,105299.92,v2,0.00
setl_0350,HDFC900532931839,2026-03-02,pay_0347,15769.50,2.00,0.36,15767.14,v2,0.00
setl_0352,HDFC900532931839,2026-03-10,pay_0349,9982.25,12.00,2.16,9968.09,v2,0.00
setl_0362,KKBK084700766177,2026-02-19,pay_0355|pay_0357,13393.00,0.00,0.00,13392.00,v1,-1.00
setl_0364,ICIC921249985698,2026-04-01,pay_0359|pay_0361,59203.99,24.00,4.32,59176.67,v2,1.00
setl_0370,UTIB365766156545,2026-04-02,pay_0367,33631.99,756.72,136.21,32739.06,v2,0.00
setl_0372,UTIB111161528098,2026-02-17,pay_0369,43407.99,10.00,1.80,43396.19,v1,0.00
setl_0378,KKBK832731585149,2026-02-18,pay_0375,27422.50,10.00,1.80,27410.70,v1,0.00
setl_0379,HDFC689980940244,2026-02-09,pay_0377,19350.99,387.02,69.66,18894.31,v1,0.00
setl_0384,HDFC018366752545,2026-03-02,pay_0381|pay_0383,32659.49,734.84,132.27,31792.38,v2,0.00
setl_0390,SBIN476797643815,2026-02-27,pay_0387|pay_0389,50390.99,1007.82,181.41,49201.76,v1,0.00
